iter	Passed	Remaining
765	5679	1734
766	5684	1726
767	5691	1719
768	5697	1711
769	5705	1704
770	5711	1696
771	5717	1688
772	5724	1681
773	5732	1673
774	5738	1666
775	5744	1658
776	5752	1650
777	5758	1643
778	5764	1635
779	5773	1628
780	5780	1620
781	5788	1613
782	5797	1606
783	5805	1599
784	5812	1591
785	5818	1584
786	5825	1576
787	5830	1568
788	5837	1561
789	5844	1553
790	5850	1545
791	5857	1538
792	5867	1531
793	5874	1524
794	5879	1516
795	5887	1508
796	5894	1501
797	5900	1493
798	5909	1486
799	5916	1479
800	5922	1471
801	5929	1463
802	5937	1456
803	5943	1448
804	5952	1441
805	5959	1434
806	5966	1426
807	5972	1419
808	5981	1412
809	5989	1404
810	5996	1397
811	6002	1389
812	6011	1382
813	6020	1375
814	6028	1368
815	6033	1360
816	6040	1353
817	6047	1345
818	6054	1338
819	6060	1330
820	6068	1323
821	6076	1315
822	6082	1308
823	6092	1301
824	6101	1294
825	6108	1286
826	6113	1278
827	6120	1271
828	6129	1264
829	6134	1256
830	6143	1249
831	6151	1242
832	6159	1234
833	6166	1227
834	6174	1220
835	6182	1212
836	6190	1205
837	6195	1197
838	6202	1190
839	6210	1182
840	6216	1175
841	6223	1167
842	6232	1160
843	6237	1152
844	6244	1145
845	6251	1138
846	6260	1130
847	6265	1123
848	6272	1115
849	6278	1108
850	6285	1100
851	6294	1093
852	6300	1085
853	6309	1078
854	6315	1071
855	6321	1063
856	6328	1055
857	6336	1048
858	6342	1041
859	6350	1033
860	6358	1026
861	6367	1019
862	6378	1012
863	6387	1005
864	6397	998
865	6405	991
866	6412	983
867	6420	976
868	6426	968
869	6432	961
870	6439	953
871	6448	946
872	6457	939
873	6463	931
874	6469	924
875	6476	916
876	6482	909
877	6489	901
878	6495	894
879	6504	886
880	6511	879
881	6519	872
882	6526	864
883	6533	857
884	6540	849
885	6547	842
886	6554	834
887	6561	827
888	6569	820
889	6578	813
890	6586	805
891	6592	798
892	6600	790
893	6608	783
894	6614	776
895	6621	768
896	6628	761
897	6633	753
898	6639	745
899	6646	738
900	6652	730
901	6661	723
902	6670	716
903	6677	709
904	6685	701
905	6691	694
906	6697	686
907	6704	679
908	6710	671
909	6716	664
910	6722	656
911	6729	649
912	6737	642
913	6746	634
914	6753	627
915	6761	620
916	6769	612
917	6776	605
918	6784	597
919	6791	590
920	6799	583
921	6805	575
922	6811	568
923	6818	560
924	6826	553
925	6833	546
926	6841	538
927	6849	531
928	6855	523
929	6864	516
930	6870	509
931	6876	501
932	6881	494
933	6889	486
934	6897	479
935	6904	472
936	6909	464
937	6916	457
938	6925	449
939	6932	442
940	6939	435
941	6948	427
942	6953	420
943	6963	413
944	6969	405
945	6978	398
946	6985	390
947	6993	383
948	7000	376
949	7007	368
950	7013	361
951	7020	353
952	7028	346
953	7035	339
954	7043	331
955	7050	324
956	7056	317
957	7063	309
958	7070	302
959	7077	294
960	7085	287
961	7093	280
962	7101	272
963	7108	265
964	7116	258
965	7123	250
966	7130	243
967	7137	235
968	7144	228
969	7154	221
970	7160	213
971	7168	206
972	7174	199
973	7180	191
974	7185	184
975	7192	176
976	7199	169
977	7206	162
978	7215	154
979	7222	147
980	7228	140
981	7234	132
982	7240	125
983	7247	117
984	7253	110
985	7260	103
986	7268	95
987	7275	88
988	7281	80
989	7289	73
990	7297	66
991	7306	58
992	7311	51
993	7319	44
994	7327	36
995	7335	29
996	7343	22
997	7350	14
998	7357	7
999	7364	0
